date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
02-01,07:11,08:28,13:15,15:26,17:56,19:08
02-02,07:09,08:27,13:15,15:28,17:57,19:10
02-03,07:08,08:26,13:15,15:29,17:59,19:11
02-04,07:07,08:24,13:15,15:30,18:01,19:13
02-05,07:06,08:23,13:15,15:32,18:02,19:14
02-06,07:04,08:21,13:15,15:33,18:04,19:16
02-07,07:03,08:20,13:15,15:34,18:06,19:17
02-08,07:01,08:18,13:15,15:36,18:07,19:19
02-09,07:00,08:16,13:15,15:37,18:09,19:20
02-10,06:59,08:15,13:15,15:38,18:11,19:22
02-11,06:57,08:13,13:15,15:40,18:12,19:23
02-12,06:56,08:11,13:15,15:41,18:14,19:25
02-13,06:54,08:10,13:15,15:42,18:16,19:26
02-14,06:52,08:08,13:15,15:44,18:17,19:28
02-15,06:51,08:06,13:15,15:45,18:19,19:30
02-16,06:49,08:04,13:15,15:46,18:21,19:31
02-17,06:47,08:03,13:15,15:48,18:23,19:33
02-18,06:46,08:01,13:15,15:49,18:24,19:34
02-19,06:44,07:59,13:15,15:50,18:26,19:36
02-20,06:42,07:57,13:15,15:51,18:28,19:37
02-21,06:41,07:55,13:15,15:53,18:29,19:39
02-22,06:39,07:53,13:15,15:54,18:31,19:40
02-23,06:37,07:51,13:15,15:55,18:33,19:42
02-24,06:35,07:50,13:15,15:56,18:34,19:44
02-25,06:33,07:48,13:15,15:58,18:36,19:45
02-26,06:31,07:46,13:15,15:59,18:37,19:47
02-27,06:30,07:44,13:15,16:00,18:39,19:48
02-28,06:28,07:42,13:15,16:01,18:41,19:50
02-29,06:26,07:40,13:15,16:02,18:42,19:51
